block_id,trial_id,stimCat,stimId,SRP,trialType,Rw,response
,,2,1.0,20.0,1,10,
,,2,1.0,20.0,1,10,
,,2,1.0,20.0,1,10,
,,2,1.0,20.0,1,10,
,,2,1.0,20.0,1,10,
,,2,1.0,20.0,1,10,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,2,1.0,20.0,1,1,
,,3,10.0,20.0,0,1,
,,3,10.0,20.0,0,1,
,,3,10.0,20.0,0,1,
,,3,10.0,20.0,0,1,
,,3,10.0,20.0,0,1,
,,3,10.0,20.0,0,1,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,0,10,
,,3,10.0,20.0,1,10,
,,3,10.0,20.0,1,10,
,,3,10.0,20.0,1,10,
,,3,10.0,20.0,1,10,
,,3,10.0,20.0,1,10,
,,3,10.0,20.0,1,10,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,3,10.0,20.0,1,1,
,,4,1.0,20.0,0,1,
,,4,1.0,20.0,0,1,
,,4,1.0,20.0,0,1,
,,4,1.0,20.0,0,1,
,,4,1.0,20.0,0,1,
,,4,1.0,20.0,0,1,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,0,10,
,,4,1.0,20.0,1,10,
,,4,1.0,20.0,1,10,
,,4,1.0,20.0,1,10,
,,4,1.0,20.0,1,10,
,,4,1.0,20.0,1,10,
,,4,1.0,20.0,1,10,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
,,4,1.0,20.0,1,1,
