,bid,tid,nid,fid,face_path,congruency,PC,frequency,corrResp,sbjResp,sbjCorr,sbjRT
63,1,64,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
64,1,65,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
65,1,66,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
66,1,67,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
67,1,68,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
68,1,69,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
69,1,70,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
70,1,71,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
71,1,72,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
0,2,1,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
1,2,2,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
2,2,3,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
3,2,4,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
4,2,5,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
5,2,6,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
6,2,7,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
7,2,8,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
8,2,9,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
9,2,10,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
10,2,11,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
11,2,12,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
12,2,13,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
13,2,14,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
14,2,15,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
15,2,16,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
16,2,17,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
17,2,18,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
18,2,19,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
19,2,20,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
20,2,21,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
21,2,22,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
22,2,23,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
23,2,24,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
24,2,25,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
25,2,26,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
26,2,27,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
27,2,28,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
28,2,29,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
29,2,30,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
30,2,31,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
31,2,32,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
32,2,33,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
33,2,34,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
34,2,35,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
35,2,36,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
36,2,37,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
37,2,38,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
38,2,39,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
39,2,40,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
40,2,41,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
41,2,42,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
42,2,43,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
43,2,44,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
44,2,45,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
45,2,46,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
46,2,47,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
47,2,48,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
48,2,49,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
49,2,50,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
50,2,51,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
51,2,52,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
52,2,53,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
53,2,54,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
54,2,55,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
55,2,56,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
56,2,57,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
57,2,58,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
58,2,59,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
59,2,60,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
60,2,61,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
61,2,62,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
62,2,63,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
63,2,64,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
64,2,65,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
65,2,66,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
66,2,67,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
67,2,68,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
68,2,69,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
69,2,70,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
70,2,71,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
71,2,72,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
0,3,1,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
1,3,2,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
2,3,3,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
3,3,4,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
4,3,5,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
5,3,6,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
6,3,7,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
7,3,8,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
8,3,9,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
9,3,10,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
10,3,11,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
11,3,12,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
12,3,13,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
13,3,14,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
14,3,15,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
15,3,16,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
16,3,17,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
17,3,18,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
18,3,19,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
19,3,20,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
20,3,21,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
21,3,22,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
22,3,23,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
23,3,24,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
24,3,25,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
25,3,26,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
26,3,27,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
27,3,28,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
28,3,29,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
29,3,30,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
30,3,31,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
31,3,32,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
32,3,33,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
33,3,34,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
34,3,35,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
35,3,36,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
36,3,37,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
37,3,38,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
38,3,39,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
39,3,40,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
40,3,41,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
41,3,42,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
42,3,43,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
43,3,44,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
44,3,45,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
45,3,46,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
46,3,47,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
47,3,48,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
48,3,49,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
49,3,50,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
50,3,51,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
51,3,52,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
52,3,53,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
53,3,54,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
54,3,55,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
55,3,56,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
56,3,57,Cruise,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
57,3,58,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
58,3,59,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
59,3,60,Cruise,Cruise,./images/Cruise.jpg,congruent,MIC-C,infreq,b,,,
60,3,61,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
61,3,62,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
62,3,63,Cruise,Damon,./images/Damon.jpg,incongruent,MC-C,infreq,n,,,
63,3,64,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
64,3,65,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
65,3,66,Damon,Clooney,./images/Clooney.jpg,incongruent,MC-IC,infreq,v,,,
66,3,67,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
67,3,68,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
68,3,69,Damon,Cruise,./images/Cruise.jpg,incongruent,MC-C,infreq,b,,,
69,3,70,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
70,3,71,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
71,3,72,Damon,Damon,./images/Damon.jpg,congruent,MIC-C,infreq,n,,,
0,4,1,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
1,4,2,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
2,4,3,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
3,4,4,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
4,4,5,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
5,4,6,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
6,4,7,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
7,4,8,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
8,4,9,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
9,4,10,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
10,4,11,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
11,4,12,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
12,4,13,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
13,4,14,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
14,4,15,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
15,4,16,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
